app_number,patent_number,blocked_app,blocking_type,patent_pub_year,blocking_month
"09/847,143",7046910,10578151,102e,2006,8
"09/847,143",7046910,10578151,103a,2006,8
"09/855,385",7190956,12866025,103a,2007,48
"09/855,385",7190956,12866025,103a,2007,40
"08/665,178",5794185,13008925,103a,1998,11
"08/665,178",5794185,12035715,103a,1998,8
"12/534,213",8229428,13547133,119,2012,22
"11/286,497",7555696,11621919,103a,2009,5
"10/692,622",7373181,12336526,103a,2008,4
"10/692,622",7373181,13647868,119,2008,32
"10/952,362",7414990,11955055,103a,2008,6
"08/589,842",5862451,12470623,103a,1999,10
"08/589,842",5862451,12470623,103a,1999,10
"08/589,842",5862451,12470623,103a,1999,10
"08/589,842",5862451,12470623,103a,1999,10
"08/625,116",5812527,12436517,102b,1998,5
"10/413,060",7263365,11842543,103,2007,5
"09/648,955",6466804,13252096,103a,2002,12
"09/648,955",6466804,10476522,103a,2002,5
"09/648,955",6466804,12933760,103a,2002,16
"09/648,955",6466804,12990205,103a,2002,34
"11/558,243",7729357,11786969,103a,2010,18
"10/261,260",7876837,12356184,103a,2011,6
"10/261,260",7876837,12356184,103a,2011,6
"10/261,260",7876837,12356184,103a,2011,6
"10/261,260",7876837,12356184,103a,2011,6
"10/261,260",7876837,12356184,103a,2011,6
"10/261,260",7876837,12356184,103a,2011,6
"10/261,260",7876837,12027794,103a,2011,15
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11147396,103a,1999,6
"08/720,984",5910951,11945840,103a,1999,7
"08/720,984",5910951,11945840,103a,1999,7
"08/720,984",5910951,11945840,103a,1999,14
"08/720,984",5910951,11945840,103a,1999,14
"08/946,210",5946346,12475966,103a,1999,13
"09/678,056",6970926,11696428,103,2005,11
"09/678,056",6970926,11696428,103a,2005,2
"09/678,056",6970926,11696428,103a,2005,17
"10/003,153",6836676,13523413,103a,2004,20
"08/554,990",5781226,11400371,103a,1998,21
"08/554,990",5781226,12711092,103a,1998,19
"08/736,383",5886736,12311929,103a,1999,10
"08/736,383",5886736,12759554,102b,1999,19
"08/736,383",5886736,12759554,103a,1999,19
"08/736,383",5886736,12759554,103a,1999,19
"08/736,383",5886736,12759554,103a,1999,19
"08/736,383",5886736,12759554,103a,1999,19
"08/736,383",5886736,12759554,103a,1999,19
"08/736,383",5886736,12747442,103a,1999,20
"08/736,383",5886736,12747442,103a,1999,20
"08/736,383",5886736,12747442,102b,1999,16
"08/736,383",5886736,12747442,103a,1999,16
"08/736,383",5886736,12747442,103a,1999,16
"08/736,383",5886736,12759554,103a,1999,27
"08/736,383",5886736,12759554,103a,1999,27
"08/736,383",5886736,12759554,103a,1999,27
"08/736,383",5886736,12759554,103a,1999,27
"08/736,383",5886736,12759554,103a,1999,27
"08/736,383",5886736,12759554,103a,1999,27
"09/967,239",6563427,11331338,103a,2003,10
"09/967,239",6563427,11331338,103,2003,4
"11/838,517",8140102,12338573,103a,2012,22
"10/284,927",6925128,12905809,103a,2005,3
"10/284,927",6925128,12905809,103,2005,8
"10/284,927",6925128,13351738,103a,2005,23
"10/284,927",6925128,13351738,103,2005,18
"09/032,815",6063521,13011752,103a,2000,20
"09/032,815",6063521,13011752,103a,2000,29
"08/829,271",5848357,11540286,103a,1998,1
"08/829,271",5848357,11540286,103a,1998,8
"08/829,271",5848357,12495207,103a,1998,11
"09/753,833",6421602,12847659,103a,2002,21
"09/753,833",6421602,12847659,103a,2002,16
"09/218,324",6366302,11550053,103a,2002,9
"09/218,324",6366302,11550053,103a,2002,9
"09/218,324",6366302,11550053,103a,2002,9
"09/218,324",6366302,12692498,103a,2002,18
